City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Qeshm,IR,69.69,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
425,Talara,PE,65.66,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
426,Diego De Almagro,CL,64.81,clear sky,-26.3667,-70.05,hotel luna del desierto
429,Bowen,AU,82.62,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
430,Veraval,IN,75.34,few clouds,20.9,70.3667,Lords Inn Somnath
433,Lima,PE,64.65,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
434,Lundazi,ZM,65.17,moderate rain,-12.2929,33.1782,Knox Lodge
437,Havre-Saint-Pierre,CA,43.16,mist,50.2334,-63.5986,Auberge Niapiskau
438,Bereda,ES,49.75,light rain,43.2686,-7.5406,Pazo de Verdes
439,Poum,NC,80.56,clear sky,-20.2333,164.0167,Gîte kajeon
440,Te Anau,NZ,49.24,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
441,Nantucket,US,44.71,overcast clouds,41.2835,-70.0995,Jared Coffin House
442,Desna,UA,43.52,light rain,50.9273,30.7605,Бомж-Ти-Хаус
443,Bell Ville,AR,77.16,clear sky,-32.6259,-62.6887,Hotel Central
445,Havelock,US,51.8,clear sky,34.8791,-76.9013,Sherwood Motel
446,General Roca,AR,84.6,light rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
448,Deder,ET,53.55,overcast clouds,9.3167,41.45,Entoto Hotel
450,Fallon,US,53.47,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
451,Codrington,AU,61.92,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
454,Ladario,BR,76.93,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
456,Lorengau,PG,85.28,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
457,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
458,Koumac,NC,84.09,clear sky,-20.5667,164.2833,Le Monitel
459,Cap Malheureux,MU,73.89,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
461,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
462,Naqadeh,IR,42.73,clear sky,36.9553,45.388,ایبنه شربین اووی
463,Mogadishu,SO,78.44,moderate rain,2.0371,45.3438,Hotel Juba
464,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
